observation_date,TCU
1967-01-01,88.1496
1967-04-01,86.6086
1967-07-01,86.0431
1967-10-01,87.1866
1968-01-01,87.3375
1968-04-01,87.4736
1968-07-01,87.1287
1968-10-01,87.4344
1969-01-01,88.1485
1969-04-01,87.5894
1969-07-01,87.7050
1969-10-01,86.2456
1970-01-01,83.3245
1970-04-01,82.0957
1970-07-01,81.0481
1970-10-01,78.5696
1971-01-01,79.4173
1971-04-01,79.5286
1971-07-01,79.1734
1971-10-01,80.4029
1972-01-01,83.2163
1972-04-01,84.1761
1972-07-01,84.5731
1972-10-01,86.7435
1973-01-01,88.3818
1973-04-01,88.2318
1973-07-01,88.0678
1973-10-01,88.5178
1974-01-01,86.9273
1974-04-01,86.2936
1974-07-01,85.3885
1974-10-01,81.4950
1975-01-01,75.6707
1975-04-01,74.3242
1975-07-01,75.7976
1975-10-01,77.0540
1976-01-01,78.9586
1976-04-01,79.5007
1976-07-01,80.0430
1976-10-01,80.9266
1977-01-01,81.9391
1977-04-01,83.8333
1977-07-01,84.0382
1977-10-01,83.8411
1978-01-01,82.8849
1978-04-01,85.5183
1978-07-01,85.5628
1978-10-01,86.3582
1979-01-01,86.0650
1979-04-01,85.1806
1979-07-01,84.2881
1979-10-01,84.0443
1980-01-01,83.8941
1980-04-01,79.8992
1980-07-01,78.1646
1980-10-01,80.7126
1981-01-01,80.3913
1981-04-01,80.0991
1981-07-01,80.2781
1981-10-01,77.9184
1982-01-01,75.8154
1982-04-01,74.4429
1982-07-01,73.0408
1982-10-01,71.4410
1983-01-01,72.1084
1983-04-01,73.6494
1983-07-01,76.0852
1983-10-01,77.9201
1984-01-01,79.9392
1984-04-01,80.7784
1984-07-01,80.8314
1984-10-01,80.3168
1985-01-01,80.0095
1985-04-01,79.4986
1985-07-01,78.8594
1985-10-01,78.8469
1986-01-01,78.9457
1986-04-01,78.1720
1986-07-01,78.2021
1986-10-01,78.7782
1987-01-01,79.4448
1987-04-01,80.4457
1987-07-01,81.5375
1987-10-01,83.1255
1988-01-01,83.6413
1988-04-01,84.2229
1988-07-01,84.4013
1988-10-01,84.8028
1989-01-01,84.8817
1989-04-01,84.1117
1989-07-01,83.0423
1989-10-01,82.7612
1990-01-01,82.7599
1990-04-01,82.7825
1990-07-01,82.6474
1990-10-01,81.0212
1991-01-01,79.2415
1991-04-01,79.4862
1991-07-01,80.3995
1991-10-01,80.2662
1992-01-01,79.7454
1992-04-01,80.6717
1992-07-01,80.7599
1992-10-01,81.0784
1993-01-01,81.3865
1993-04-01,81.1756
1993-07-01,81.1059
1993-10-01,81.9118
1994-01-01,82.3474
1994-04-01,83.1582
1994-07-01,83.4397
1994-10-01,84.3084
1995-01-01,84.3568
1995-04-01,83.7756
1995-07-01,83.6795
1995-10-01,83.3580
1996-01-01,82.8385
1996-04-01,83.4664
1996-07-01,83.3845
1996-10-01,83.3399
1997-01-01,83.6826
1997-04-01,83.5696
1997-07-01,84.0684
1997-10-01,84.5931
1998-01-01,83.8877
1998-04-01,82.8594
1998-07-01,82.1056
1998-10-01,82.0549
1999-01-01,81.9072
1999-04-01,81.7259
1999-07-01,81.5718
1999-10-01,82.1437
2000-01-01,82.1072
2000-04-01,82.2761
2000-07-01,81.4061
2000-10-01,80.3854
2001-01-01,78.6272
2001-04-01,76.9291
2001-07-01,75.2728
2001-10-01,73.9587
2002-01-01,74.1248
2002-04-01,75.0518
2002-07-01,75.4436
2002-10-01,75.4359
2003-01-01,75.9953
2003-04-01,75.5162
2003-07-01,76.0819
2003-10-01,76.8539
2004-01-01,77.4360
2004-04-01,77.9207
2004-07-01,78.3778
2004-10-01,79.4377
2005-01-01,80.3838
2005-04-01,80.5729
2005-07-01,79.9063
2005-10-01,80.2830
2006-01-01,80.6832
2006-04-01,80.7679
2006-07-01,80.6186
2006-10-01,80.2667
2007-01-01,80.5114
2007-04-01,80.9348
2007-07-01,80.7002
2007-10-01,80.9210
2008-01-01,80.8616
2008-04-01,79.8024
2008-07-01,77.1346
2008-10-01,73.5965
2009-01-01,69.1611
2009-04-01,67.0458
2009-07-01,68.1689
2009-10-01,69.4594
2010-01-01,71.1892
2010-04-01,73.0524
2010-07-01,74.4518
2010-10-01,75.0437
2011-01-01,75.5523
2011-04-01,75.7758
2011-07-01,76.3717
2011-10-01,76.7905
2012-01-01,77.1271
2012-04-01,77.1838
2012-07-01,76.7919
2012-10-01,76.8250
2013-01-01,77.1019
2013-04-01,77.2003
2013-07-01,77.3187
2013-10-01,77.6804
2014-01-01,78.0467
2014-04-01,78.9343
2014-07-01,79.1531
2014-10-01,79.4029
2015-01-01,78.3725
2015-04-01,77.2233
2015-07-01,77.2809
2015-10-01,76.2696
2016-01-01,75.7657
2016-04-01,75.4606
2016-07-01,75.5924
2016-10-01,75.5083
2017-01-01,75.5882
2017-04-01,76.7990
2017-07-01,76.7608
2017-10-01,78.1129
2018-01-01,78.7564
2018-04-01,79.7734
2018-07-01,80.4004
2018-10-01,80.3809
2019-01-01,79.4163
2019-04-01,78.7309
2019-07-01,78.5013
2019-10-01,77.9124
2020-01-01,76.5390
2020-04-01,66.8603
2020-07-01,73.3269
2020-10-01,74.9612
2021-01-01,75.6483
2021-04-01,77.3425
2021-07-01,78.2702
2021-10-01,79.5295
2022-01-01,80.4010
2022-04-01,81.0732
2022-07-01,81.0209
2022-10-01,80.1648
2023-01-01,79.5997
2023-04-01,79.1282
2023-07-01,78.9305
2023-10-01,78.2766
2024-01-01,77.7036
2024-04-01,77.9731
2024-07-01,77.6310
2024-10-01,77.1891
