observation_date,M2_Money_Stocks,M2_Money_Stocks_Change
1959-01-01,987.9,
1959-02-01,992.1,4.2
1959-03-01,998.3,6.2
1959-04-01,1001.0,2.7
1959-05-01,1006.2,5.2
1959-06-01,1010.3,4.1
1959-07-01,1012.7,2.4
1959-08-01,1015.8,3.1
1959-09-01,1014.4,-1.4
1959-10-01,1010.2,-4.2
1959-11-01,1012.3,2.1
1959-12-01,1012.6,0.3
1960-01-01,1015.3,2.7
1960-02-01,1014.6,-0.7
1960-03-01,1017.7,3.1
1960-04-01,1015.9,-1.8
1960-05-01,1017.6,1.7
1960-06-01,1020.9,3.3
1960-07-01,1029.1,8.2
1960-08-01,1036.5,7.4
1960-09-01,1041.5,5.0
1960-10-01,1040.3,-1.2
1960-11-01,1044.0,3.7
1960-12-01,1048.0,4.0
1961-01-01,1052.6,4.6
1961-02-01,1060.7,8.1
1961-03-01,1066.7,6.0
1961-04-01,1073.1,6.4
1961-05-01,1079.8,6.7
1961-06-01,1086.8,7.0
1961-07-01,1088.2,1.4
1961-08-01,1094.2,6.0
1961-09-01,1099.1,4.9
1961-10-01,1104.4,5.3
1961-11-01,1112.1,7.7
1961-12-01,1118.0,5.9
1962-01-01,1123.5,5.5
1962-02-01,1129.5,6.0
1962-03-01,1137.2,7.7
1962-04-01,1143.7,6.5
1962-05-01,1149.1,5.4
1962-06-01,1156.2,7.1
1962-07-01,1160.8,4.6
1962-08-01,1165.1,4.3
1962-09-01,1166.7,1.6
1962-10-01,1175.8,9.1
1962-11-01,1184.3,8.5
1962-12-01,1193.9,9.6
1963-01-01,1199.7,5.8
1963-02-01,1207.0,7.3
1963-03-01,1215.0,8.0
1963-04-01,1224.7,9.7
1963-05-01,1232.7,8.0
1963-06-01,1236.2,3.5
1963-07-01,1241.8,5.6
1963-08-01,1247.5,5.7
1963-09-01,1256.5,9.0
1963-10-01,1262.8,6.3
1963-11-01,1271.9,9.1
1963-12-01,1273.3,1.4
1964-01-01,1277.3,4.0
1964-02-01,1286.3,9.0
1964-03-01,1292.2,5.9
1964-04-01,1297.9,5.7
1964-05-01,1304.7,6.8
1964-06-01,1312.8,8.1
1964-07-01,1322.1,9.3
1964-08-01,1331.4,9.3
1964-09-01,1341.4,10.0
1964-10-01,1346.7,5.3
1964-11-01,1352.1,5.4
1964-12-01,1359.0,6.9
1965-01-01,1366.7,7.7
1965-02-01,1376.0,9.3
1965-03-01,1383.6,7.6
1965-04-01,1387.5,3.9
1965-05-01,1388.5,1.0
1965-06-01,1392.3,3.8
1965-07-01,1402.5,10.2
1965-08-01,1413.0,10.5
1965-09-01,1421.6,8.6
1965-10-01,1430.0,8.4
1965-11-01,1435.3,5.3
1965-12-01,1441.8,6.5
