observation_date,FYFSGDA188S
1970-03-31,-0.26479
1970-06-30,-0.6929275
1970-09-30,-1.121065
1970-12-31,-1.5492025
1971-03-31,-1.97734
1971-06-30,-1.9398275
1971-09-30,-1.9023150000000002
1971-12-31,-1.8648025000000001
1972-03-31,-1.82729
1972-06-30,-1.6319425
1972-09-30,-1.436595
1972-12-31,-1.2412475
1973-03-31,-1.0459
1973-06-30,-0.88368
1973-09-30,-0.72146
1973-12-31,-0.55924
1974-03-31,-0.39702
1974-06-30,-1.08775
1974-09-30,-1.77848
1974-12-31,-2.46921
1975-03-31,-3.15994
1975-06-30,-3.3538825
1975-09-30,-3.547825
1975-12-31,-3.7417675
1976-03-31,-3.93571
1976-06-30,-3.5961575
1976-09-30,-3.256605
1976-12-31,-2.9170525
1977-03-31,-2.5775
1977-06-30,-2.562325
1977-09-30,-2.5471500000000002
1977-12-31,-2.531975
1978-03-31,-2.5168
1978-06-30,-2.2751225
1978-09-30,-2.033445
1978-12-31,-1.7917675
1979-03-31,-1.55009
1979-06-30,-1.8085425
1979-09-30,-2.066995
1979-12-31,-2.3254475
1980-03-31,-2.5839
1980-06-30,-2.5535075
1980-09-30,-2.5231149999999998
1980-12-31,-2.4927225
1981-03-31,-2.46233
1981-06-30,-2.8035725
1981-09-30,-3.1448150000000004
1981-12-31,-3.4860575000000003
1982-03-31,-3.8273
1982-06-30,-4.300027500000001
1982-09-30,-4.772755
1982-12-31,-5.2454825
1983-03-31,-5.71821
1983-06-30,-5.4364075
1983-09-30,-5.154605
1983-12-31,-4.872802500000001
1984-03-31,-4.591
1984-06-30,-4.666510000000001
1984-09-30,-4.74202
1984-12-31,-4.81753
1985-03-31,-4.89304
1985-06-30,-4.8774475
1985-09-30,-4.861855
1985-12-31,-4.8462625
1986-03-31,-4.83067
1986-06-30,-4.3939775
1986-09-30,-3.9572849999999997
1986-12-31,-3.5205925
1987-03-31,-3.0839
1987-06-30,-3.0537824999999996
1987-09-30,-3.023665
1987-12-31,-2.9935475
1988-03-31,-2.96343
1988-06-30,-2.898975
1988-09-30,-2.83452
1988-12-31,-2.7700649999999998
1989-03-31,-2.70561
1989-06-30,-2.9558825
1989-09-30,-3.206155
1989-12-31,-3.4564275
1990-03-31,-3.7067
1990-06-30,-3.8730425
1990-09-30,-4.039385
