observation_date,GDPC1,observation_date,CPIAUCSL,observation_date,CIVPART,observation_date,PPIACO,observation_date,UNRATE,Unnamed: 0,observation_date,Deficit_%_GDP,GDPC1
1976-01-01,6323.649,1976-01-01,55.8,1976-01-01,61.3,1976-01-01,59.9,1976-01-01,7.9,24.0,1976-01-01,,6323.649
1976-04-01,6370.025,1976-04-01,56.1,1976-04-01,61.6,1976-04-01,60.6,1976-04-01,7.7,25.0,1976-04-01,,6370.025
1976-07-01,6404.895,1976-07-01,57.0,1976-07-01,61.8,1976-07-01,61.6,1976-07-01,7.8,26.0,1976-07-01,,6404.895
1976-10-01,6451.177,1976-10-01,57.9,1976-10-01,61.6,1976-10-01,61.9,1976-10-01,7.7,27.0,1976-10-01,,6451.177
1977-01-01,6527.703,1977-01-01,58.7,1977-01-01,61.6,1977-01-01,62.8,1977-01-01,7.5,28.0,1977-01-01,,6527.703
1977-04-01,6654.466,1977-04-01,60.0,1977-04-01,62.1,1977-04-01,64.9,1977-04-01,7.2,29.0,1977-04-01,,6654.466
1977-07-01,6774.457,1977-07-01,60.8,1977-07-01,62.1,1977-07-01,65.1,1977-07-01,6.9,30.0,1977-07-01,,6774.457
1977-10-01,6774.592,1977-10-01,61.6,1977-10-01,62.4,1977-10-01,65.6,1977-10-01,6.8,31.0,1977-10-01,,6774.592
1978-01-01,6796.26,1978-01-01,62.7,1978-01-01,62.8,1978-01-01,66.8,1978-01-01,6.4,32.0,1978-01-01,,6796.26
1978-04-01,7058.92,1978-04-01,63.9,1978-04-01,63.0,1978-04-01,69.0,1978-04-01,6.1,33.0,1978-04-01,,7058.92
1978-07-01,7129.915,1978-07-01,65.5,1978-07-01,63.2,1978-07-01,70.4,1978-07-01,6.2,34.0,1978-07-01,,7129.915
1978-10-01,7225.75,1978-10-01,67.1,1978-10-01,63.3,1978-10-01,71.8,1978-10-01,5.8,35.0,1978-10-01,,7225.75
1979-01-01,7238.727,1979-01-01,68.5,1979-01-01,63.6,1979-01-01,73.8,1979-01-01,5.9,36.0,1979-01-01,,7238.727
1979-04-01,7246.454,1979-04-01,70.6,1979-04-01,63.5,1979-04-01,76.9,1979-04-01,5.8,37.0,1979-04-01,,7246.454
1979-07-01,7300.281,1979-07-01,73.0,1979-07-01,63.6,1979-07-01,79.2,1979-07-01,5.7,38.0,1979-07-01,,7300.281
1979-10-01,7318.535,1979-10-01,75.2,1979-10-01,63.7,1979-10-01,82.1,1979-10-01,6.0,39.0,1979-10-01,,7318.535
1980-01-01,7341.557,1980-01-01,78.0,1980-01-01,64.0,1980-01-01,85.2,1980-01-01,6.3,40.0,1980-01-01,,7341.557
1980-04-01,7190.289,1980-04-01,80.9,1980-04-01,63.8,1980-04-01,87.8,1980-04-01,6.9,41.0,1980-04-01,,7190.289
1980-07-01,7181.743,1980-07-01,82.6,1980-07-01,63.8,1980-07-01,90.3,1980-07-01,7.8,42.0,1980-07-01,,7181.743
1980-10-01,7315.677,1980-10-01,84.7,1980-10-01,63.7,1980-10-01,92.8,1980-10-01,7.5,43.0,1980-10-01,,7315.677
1981-01-01,7459.022,1981-01-01,87.2,1981-01-01,63.9,1981-01-01,95.2,1981-01-01,7.5,44.0,1981-01-01,,7459.022
1981-04-01,7403.745,1981-04-01,89.1,1981-04-01,64.2,1981-04-01,98.0,1981-04-01,7.2,45.0,1981-04-01,,7403.745
1981-07-01,7492.405,1981-07-01,91.5,1981-07-01,63.8,1981-07-01,99.0,1981-07-01,7.2,46.0,1981-07-01,,7492.405
1981-10-01,7410.768,1981-10-01,93.4,1981-10-01,63.8,1981-10-01,98.9,1981-10-01,7.9,47.0,1981-10-01,,7410.768
