"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","United States"
"1974-06-01 00:00:00",97.858
"1974-07-01 00:00:00",97.5805
"1974-08-01 00:00:00",97.32861
"1974-09-01 00:00:00",97.11153
"1974-10-01 00:00:00",96.93272
"1974-11-01 00:00:00",96.81554
"1974-12-01 00:00:00",96.79066
"1975-01-01 00:00:00",96.939
"1975-02-01 00:00:00",97.34245
"1975-03-01 00:00:00",97.8612
"1975-04-01 00:00:00",98.32417
"1975-05-01 00:00:00",98.60394
"1975-06-01 00:00:00",98.74762
"1975-07-01 00:00:00",98.8103
"1975-08-01 00:00:00",98.82468
"1975-09-01 00:00:00",98.8517
"1975-10-01 00:00:00",98.96218
"1975-11-01 00:00:00",99.20596
"1975-12-01 00:00:00",99.49746
"1976-01-01 00:00:00",99.72354
"1976-02-01 00:00:00",99.80353
"1976-03-01 00:00:00",99.8147
"1976-04-01 00:00:00",99.86156
"1976-05-01 00:00:00",100.0138
"1976-06-01 00:00:00",100.2088
"1976-07-01 00:00:00",100.3492
"1976-08-01 00:00:00",100.358
"1976-09-01 00:00:00",100.2882
"1976-10-01 00:00:00",100.2085
"1976-11-01 00:00:00",100.1676
"1976-12-01 00:00:00",100.1683
"1977-01-01 00:00:00",100.2127
"1977-02-01 00:00:00",100.3049
"1977-03-01 00:00:00",100.411
"1977-04-01 00:00:00",100.4879
"1977-05-01 00:00:00",100.4979
"1977-06-01 00:00:00",100.4532
"1977-07-01 00:00:00",100.3592
"1977-08-01 00:00:00",100.2119
"1977-09-01 00:00:00",100.0453
"1977-10-01 00:00:00",99.89903
"1977-11-01 00:00:00",99.8053
"1977-12-01 00:00:00",99.7552
"1978-01-01 00:00:00",99.72237
"1978-02-01 00:00:00",99.64265
"1978-03-01 00:00:00",99.50556
"1978-04-01 00:00:00",99.50431
"1978-05-01 00:00:00",99.52835
"1978-06-01 00:00:00",99.49277
"1978-07-01 00:00:00",99.46655
"1978-08-01 00:00:00",99.36835
"1978-09-01 00:00:00",99.27402
"1978-10-01 00:00:00",99.04591
"1978-11-01 00:00:00",98.66167
"1978-12-01 00:00:00",98.31348
"1979-01-01 00:00:00",98.2883
"1979-02-01 00:00:00",98.27307
"1979-03-01 00:00:00",98.08308
"1979-04-01 00:00:00",97.88812
"1979-05-01 00:00:00",97.75789
"1979-06-01 00:00:00",97.57574
"1979-07-01 00:00:00",97.415
"1979-08-01 00:00:00",97.45161
"1979-09-01 00:00:00",97.49196
"1979-10-01 00:00:00",97.41686
"1979-11-01 00:00:00",97.39892
"1979-12-01 00:00:00",97.43862
"1980-01-01 00:00:00",97.52287
"1980-02-01 00:00:00",97.31578
"1980-03-01 00:00:00",96.77752
